artist,genre_category
$uicideboy$,Hip Hop / Rap
'Ery Noice,Other
(((()))),Other
*NSYNC,Other
-,Other
009 Sound System,Other
03 Greedo,Other
2 Chainz,Hip Hop / Rap
2 VIVE,EDM / Electronic
2'Live Bre,Hip Hop / Rap
21 Savage,Other
24kGoldn,Other
2Pac,Hip Hop / Rap
3 Doors Down,Other
3OH!3,Other
4 Non Blondes,Other
4batz,Other
4ourty8,Other
5 Seconds of Summer,Other
50 Cent,Hip Hop / Rap
7Horse,Rock / Alternative
932sounds,Other
A Boogie Wit da Hoodie,Hip Hop / Rap
A Great Big World,Other
A Tribe Called Quest,Hip Hop / Rap
A!MS,Other
A$AP Ferg,Hip Hop / Rap
A$AP Rocky,Hip Hop / Rap
A17N,Latin
A2O,Pop
ABBA,Other
AC/DC,Rock / Alternative
AFRONOM,EDM / Electronic
AGTHA,EDM / Electronic
AJ Mitchell,Other
AJR,Other
AKI,Other
ALEXSUCKS,Other
ANOHNI,Pop
ASH7ON,Other
ATB,Other
ATLXS,Other
AURORA,Pop
AWOLNATION,Other
AZERDK,Other
Aakaash Rao,Other
Aaliyah,R&B / Soul
Aaron Tippin,Country
Aaryan Shah,R&B / Soul
Abeer Nehme,Other
Adam Hicks,Other
Adam Lambert,Other
Adam Levine,Other
Adam Port,EDM / Electronic
Adam Skorupa,Other
Adam Taylor,Other
Addison Rae,Other
Adele,Pop
Adrian Von Ziegler,Other
Adrianne Lenker,Other
Adrián Berenguer,Other
Aerosmith,Rock / Alternative
Aftertheparty,Hip Hop / Rap
Agnes Obel,Other
Ahmed Saad,Other
Aidan Bissett,Other
Aimee Mann,Other
Akon,Other
Alabama 3,EDM / Electronic
Alaina Castillo,Other
Alan Jackson,Country
Alan Silvestri,Other
Alan Walker,Other
Alanis Morissette,Other
Alec Benjamin,Other
Alek Olsen,Other
Alessandro Alessandroni,Other
Alessia Cara,Other
Alesso,EDM / Electronic
Aleta,Other
Alex & Sierra,Other
Alex Clare,Other
Alex G,Other
Alex Serra,Other
Alex Warren,Other
Alexander 23,Other
Alexander Merlin,Other
Alexander Nate,Other
Alexandra Savior,Other
Alexandra Stan,Pop
Alexandre Desplat,Other
Alexey Omelchuk,Other
Ali Gatie,Other
Alice Boman,Other
Alice In Chains,Other
Alicia Keys,R&B / Soul
Alien Ant Farm,Rock / Alternative
Alisa Okehazama,Other
Alison Krauss,Other
Allie X,Other
Allison Amber Hage,Other
Alok,Other
Altan Urag,Rock / Alternative
Alter Bridge,Other
Aly & AJ,Other
Amaarae,Other
Amb1shn,Other
Amber Run,Other
America,Rock / Alternative
America Allen,Other
American Authors,Other
Aminé,Other
Amy Macdonald,Other
Amy Winehouse,Other
Ana Shine,Other
Ananya,Other
Anaumali,Other
Andrei Krylov,Other
Andrew Belle,Other
Andy Grammer,Other
Andy Shauf,Other
Ane Brun,Other
Angus & Julia Stone,Other
Anitta,Pop
Anna Calvi,Other
Anna Kendrick,Other
Anna Marx,Other
Anna of the North,Other
Annalise Azadian,Other
