artist,total_streams,bot_streams,flagged_days,total_days,years_active,max_spike_ratio,drop_events,bot_pct,confidence,flag_reasons,note,holiday_flag_share,genre_category,genres
2 Chainz,381422820.0,858997.0,1,734,3,3.0086051608987576,0.0,0.2,9.1,"velocity_spike, seasonal_spike",,0.0,Hip Hop / Rap,Hip Hop / Rap
21 Savage,1847833894.0,1271447.0,3,2283,5,2.230463484234451,2.0,0.1,2.0,seasonal_spike,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",0.67,Hip Hop / Rap,Hip Hop / Rap
24kGoldn,677521148.0,6267411.0,1,399,3,2.451637543117133,0.0,0.9,7.5,—,,0.0,Hip Hop / Rap,Hip Hop / Rap
5 Seconds of Summer,1826377329.0,0.0,0,1305,3,2.2388536932887284,0.0,0.0,6.7,—,,0.0,Other,Other
6LACK,422607939.0,1504306.0,2,704,5,2.3986753186254206,0.0,0.4,7.3,"seasonal_spike, velocity_spike",,0.5,R&B / Soul,R&B / Soul
6ix9ine,1988019936.0,19156581.0,7,1564,3,4.425472209833536,3.0,1.0,13.5,"seasonal_spike, velocity_spike",,0.29,Hip Hop / Rap,Hip Hop / Rap
A Boogie Wit da Hoodie,1730953901.0,1497021.0,5,2129,4,4.012005548161545,2.0,0.1,3.7,"seasonal_spike, velocity_spike","🎄 Holiday-seasonal spike — likely legitimate, not fraud",0.8,Other,Other
A$AP Ferg,164726274.0,0.0,0,277,4,3.902803930144211,0.0,0.0,11.7,—,,0.0,Hip Hop / Rap,Hip Hop / Rap
A$AP Rocky,670879277.0,3901675.0,2,740,3,2.132096338771971,0.0,0.6,6.5,seasonal_spike,,0.0,Hip Hop / Rap,Hip Hop / Rap
A7S,455505490.0,0.0,0,227,2,1.3470511959373672,0.0,0.0,4.0,—,,0.0,Other,Other
AJR,307776165.0,467828.0,1,353,4,2.45790164595657,0.0,0.2,7.5,—,,0.0,Pop,Pop
AURORA,97715447.0,0.0,0,115,3,2.0325311478949453,0.0,0.0,6.1,—,,0.0,Pop,Pop
Adele,191678287.0,0.0,0,268,4,1.822142698783893,0.0,0.0,5.5,—,,0.0,Pop,Pop
Adriana Proenza,103655750.0,0.0,0,145,2,1.0686193119803262,0.0,0.0,3.2,—,,0.0,Other,Other
Alan Walker,748375468.0,0.0,0,956,4,1.3248954617493751,0.0,0.0,4.0,—,,0.0,Other,Other
Alec Benjamin,534275707.0,0.0,0,501,3,1.415498948671168,0.0,0.0,4.2,—,,0.0,Pop,Pop
Alessia Cara,969841580.0,480779.0,1,878,3,2.6183347811869315,1.0,0.0,7.9,—,,0.0,R&B / Soul,R&B / Soul
Alex Rose,233744063.0,0.0,0,319,3,1.1480911288669666,0.0,0.0,3.4,—,,0.0,Other,Other
Ali Gatie,739547285.0,0.0,0,525,2,1.273766242983971,0.0,0.0,3.8,—,,0.0,Pop,Pop
Almighty,160350839.0,0.0,0,223,2,1.1292916153068584,0.0,0.0,3.4,—,,0.0,Other,Other
Aminé,308707174.0,0.0,0,412,4,2.349094534798567,1.0,0.0,7.1,—,,0.0,Other,Other
Anitta,595080349.0,0.0,0,737,5,1.282979002702229,0.0,0.0,3.8,—,,0.0,Other,Other
Anne-Marie,1733835965.0,0.0,0,1318,5,1.7042672218369703,0.0,0.0,5.1,—,,0.0,Pop,Pop
Ant Saunders,155605459.0,0.0,1,103,2,2.914367671017502,0.0,0.0,2.7,—,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0,Other,Other
Anuel AA,4903238436.0,220487.0,1,4085,5,2.466083472622357,1.0,0.0,7.4,—,,0.0,Latin,Latin
Apache 207,248951013.0,0.0,0,290,3,1.4637324753239385,0.0,0.0,4.4,—,,0.0,Other,Other
