artist,total_streams,bot_streams,flagged_days,total_days,years_active,debut_year,bot_pct
$uicideboy$,78282719.0,726275.0,5.0,298,2,2020,0.9
2 Chainz,51645778.0,0.0,1.0,171,4,2017,0.0
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",121313666.0,420640.0,1.0,399,2,2017,0.3
21 Savage,680504508.0,27564637.0,23.0,1538,5,2017,4.1
"21 Savage, Metro Boomin",383109534.0,9863585.0,10.0,1177,4,2017,2.6
"21 Savage, Offset, Metro Boomin, Travis Scott",57097839.0,0.0,0.0,141,2,2017,0.0
24kGoldn,423676706.0,22540924.0,21.0,863,3,2019,5.3
5 Seconds of Summer,316299450.0,1722493.0,4.0,883,3,2018,0.5
6LACK,148123979.0,1028884.0,9.0,670,4,2017,0.7
6ix9ine,333685770.0,40624370.0,25.0,685,3,2017,12.2
"6ix9ine, Nicki Minaj, Murda Beatz",42704245.0,0.0,0.0,127,3,2018,0.0
"6ix9ine, Tory Lanez",55159806.0,2979000.0,2.0,122,2,2018,5.4
A Boogie Wit da Hoodie,850371901.0,8447355.0,12.0,2156,5,2017,1.0
A$AP Ferg,192682819.0,1767917.0,8.0,478,4,2017,0.9
A$AP Rocky,162186324.0,3071055.0,5.0,448,4,2017,1.9
AJR,148997670.0,665179.0,4.0,528,4,2017,0.4
Adele,273424342.0,70150850.0,48.0,569,4,2017,25.7
Alec Benjamin,57530186.0,917309.0,5.0,160,2,2018,1.6
Alessia Cara,105797063.0,0.0,1.0,359,5,2017,0.0
Ali Gatie,129565715.0,0.0,0.0,375,2,2019,0.0
Aminé,186853213.0,0.0,4.0,571,5,2017,0.0
Andy Williams,171974500.0,47425001.0,45.0,268,5,2017,27.6
Anne-Marie,33053944.0,0.0,0.0,131,3,2018,0.0
Ant Saunders,43582950.0,1542647.0,4.0,103,2,2019,3.5
Arctic Monkeys,101837634.0,0.0,2.0,432,3,2018,0.0
Ariana Grande,2414707259.0,481404030.0,279.0,4664,5,2017,19.9
"Ariana Grande, Nicki Minaj",47294072.0,0.0,0.0,183,2,2017,0.0
Arizona Zervas,335911921.0,15882756.0,14.0,602,3,2019,4.7
Ashnikko,67368273.0,1861699.0,14.0,237,3,2019,2.8
Ava Max,151282186.0,1506322.0,6.0,503,4,2018,1.0
Avicii,95466659.0,6710720.0,11.0,305,5,2017,7.0
BLACKPINK,83373039.0,1824262.0,4.0,243,3,2018,2.2
BROCKHAMPTON,94670743.0,3840150.0,16.0,263,5,2017,4.1
BTS,400969213.0,16195696.0,18.0,1077,5,2017,4.0
Baby Keem,156421073.0,9159016.0,14.0,348,3,2019,5.9
Bad Bunny,548706531.0,16077605.0,16.0,1402,4,2018,2.9
"Bad Bunny, Jhay Cortez",210783750.0,4422116.0,4.0,422,2,2020,2.1
"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",25356326.0,515149.0,6.0,113,2,2017,2.0
"Bad Bunny, ROSALÍA",63457519.0,0.0,0.0,207,2,2020,0.0
"Bad Bunny, Tainy",87191230.0,0.0,0.0,254,2,2019,0.0
Band Aid,80067954.0,15067607.0,18.0,167,5,2017,18.8
Bazzi,538214059.0,19585929.0,24.0,1427,3,2018,3.6
Bebe Rexha,438068119.0,744068.0,5.0,1245,4,2017,0.2
Big Sean,387724134.0,9451521.0,13.0,1062,5,2017,2.4
Billie Eilish,2853448781.0,303777634.0,232.0,7273,4,2018,10.6
"Billie Eilish, Khalid",79426646.0,0.0,0.0,159,2,2018,0.0
Billy Currington,18630902.0,0.0,0.0,97,2,2017,0.0
Bing Crosby,123794289.0,39316159.0,63.0,332,5,2017,31.8
"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",96678560.0,25253464.0,23.0,172,5,2017,26.1
"Black Eyed Peas, J Balvin",34535326.0,0.0,3.0,119,2,2019,0.0
Blake Shelton,35575311.0,1338309.0,8.0,127,4,2017,3.8
BlocBoy JB,315595565.0,21367731.0,13.0,494,2,2018,6.8
Bobby Helms,156017028.0,46139636.0,36.0,203,5,2017,29.6
Brenda Lee,182613474.0,51456525.0,37.0,241,5,2017,28.2
Brent Faiyaz,52553161.0,832396.0,2.0,188,2,2020,1.6
Brett Eldredge,34705045.0,6119062.0,11.0,102,5,2017,17.6
Brett Young,67529308.0,0.0,1.0,331,3,2017,0.0
Bruno Mars,464381910.0,17094389.0,18.0,1155,4,2017,3.7
Bryce Vine,61084321.0,796321.0,3.0,192,2,2018,1.3
Bryson Tiller,212331368.0,1814102.0,11.0,1044,4,2017,0.9
Burl Ives,139935746.0,33373783.0,37.0,270,5,2017,23.8
BØRNS,144326177.0,0.0,1.0,505,3,2018,0.0
CJ,111091376.0,1252305.0,5.0,229,2,2020,1.1
"CORPSE, Savage Ga$p",39913013.0,0.0,1.0,144,2,2020,0.0
Calboy,163944616.0,940557.0,4.0,439,3,2018,0.6
Calvin Harris,157423130.0,3406154.0,8.0,381,5,2017,2.2
"Calvin Harris, Funk Wav",266847422.0,4818874.0,12.0,569,2,2017,1.8
Camila Cabello,498430478.0,5602582.0,13.0,1317,5,2017,1.1
"Camila Cabello, Young Thug",125318599.0,801701.0,1.0,159,2,2017,0.6
Cardi B,1116554585.0,124868653.0,65.0,2165,5,2017,11.2
"Cardi B, Bad Bunny, J Balvin",327952706.0,10262288.0,7.0,546,4,2018,3.1
Carpenters,33517920.0,14530958.0,26.0,90,5,2017,43.4
Cashmere Cat,38728877.0,968754.0,5.0,147,2,2017,2.5
Chance the Rapper,188600970.0,4102437.0,8.0,715,3,2017,2.2
"Chance the Rapper, MadeinTYO, DaBaby",71794457.0,1145939.0,1.0,192,2,2019,1.6
Charlie Puth,225830249.0,1175034.0,6.0,635,3,2017,0.5
Cheat Codes,79044378.0,0.0,2.0,296,2,2017,0.0
Childish Gambino,409644780.0,39509239.0,25.0,984,5,2017,9.6
Chris Brown,370575908.0,5046641.0,7.0,1022,5,2017,1.4
