artist,total_streams,bot_streams,flagged_days,total_days,years_active,max_spike_ratio,drop_events,bot_pct,confidence,flag_reasons,note,holiday_flag_share
2 Chainz,381422820.0,858997.0,1,734,3,3.0086051608987576,0.0,0.2,9.1,"velocity_spike, seasonal_spike",,0.0
21 Savage,1847833894.0,1271447.0,3,2283,5,2.230463484234451,2.0,0.1,2.0,seasonal_spike,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",0.67
24kGoldn,677521148.0,6267411.0,1,399,3,2.451637543117133,0.0,0.9,7.5,—,,0.0
5 Seconds of Summer,1826377329.0,0.0,0,1305,3,2.2388536932887284,0.0,0.0,6.7,—,,0.0
6LACK,422607939.0,1504306.0,2,704,5,2.3986753186254206,0.0,0.4,7.3,"seasonal_spike, velocity_spike",,0.5
6ix9ine,1988019936.0,19156581.0,7,1564,3,4.425472209833536,3.0,1.0,13.5,"seasonal_spike, velocity_spike",,0.29
A Boogie Wit da Hoodie,1730953901.0,1497021.0,5,2129,4,4.012005548161545,2.0,0.1,3.7,"seasonal_spike, velocity_spike","🎄 Holiday-seasonal spike — likely legitimate, not fraud",0.8
A$AP Ferg,164726274.0,0.0,0,277,4,3.9028039301442115,0.0,0.0,11.7,—,,0.0
A$AP Rocky,670879277.0,3901675.0,2,740,3,2.132096338771971,0.0,0.6,6.5,seasonal_spike,,0.0
A7S,455505490.0,0.0,0,227,2,1.3470511959373672,0.0,0.0,4.0,—,,0.0
AJR,307776165.0,467828.0,1,353,4,2.45790164595657,0.0,0.2,7.5,—,,0.0
AURORA,97715447.0,0.0,0,115,3,2.0325311478949453,0.0,0.0,6.1,—,,0.0
Adele,191678287.0,0.0,0,268,4,1.8221426987838927,0.0,0.0,5.5,—,,0.0
Adriana Proenza,103655750.0,0.0,0,145,2,1.0686193119803262,0.0,0.0,3.2,—,,0.0
Alan Walker,748375468.0,0.0,0,956,4,1.3248954617493751,0.0,0.0,4.0,—,,0.0
Alec Benjamin,534275707.0,0.0,0,501,3,1.415498948671168,0.0,0.0,4.2,—,,0.0
Alessia Cara,969841580.0,480779.0,1,878,3,2.6183347811869315,1.0,0.0,7.9,—,,0.0
Alex Rose,233744063.0,0.0,0,319,3,1.1480911288669666,0.0,0.0,3.4,—,,0.0
Ali Gatie,739547285.0,0.0,0,525,2,1.2737662429839707,0.0,0.0,3.8,—,,0.0
Almighty,160350839.0,0.0,0,223,2,1.1292916153068584,0.0,0.0,3.4,—,,0.0
Aminé,308707174.0,0.0,0,412,4,2.349094534798567,1.0,0.0,7.1,—,,0.0
Anitta,595080349.0,0.0,0,737,5,1.282979002702229,0.0,0.0,3.8,—,,0.0
Anne-Marie,1733835965.0,0.0,0,1318,5,1.7042672218369703,0.0,0.0,5.1,—,,0.0
Ant Saunders,155605459.0,0.0,1,103,2,2.914367671017502,0.0,0.0,2.7,—,"🎄 Holiday-seasonal spike — likely legitimate, not fraud",1.0
Anuel AA,4903238436.0,220487.0,1,4085,5,2.466083472622357,1.0,0.0,7.4,—,,0.0
Apache 207,248951013.0,0.0,0,290,3,1.4637324753239385,0.0,0.0,4.4,—,,0.0
Arcangel,622243418.0,0.0,0,572,4,1.266529282113835,0.0,0.0,3.8,—,,0.0
Ariana Grande,8250162499.0,146238228.0,35,4399,5,4.598391323855669,1.0,1.8,14.1,"seasonal_spike, plateau_low_variance, velocity_spike",,0.51
Arizona Zervas,1184804054.0,4734794.0,2,413,3,2.0139421395198656,0.0,0.4,6.2,—,,0.5
Ava Max,1670051767.0,0.0,0,1281,4,1.5168840374443684,0.0,0.0,4.6,—,,0.0
Avicii,1092268655.0,13509252.0,3,902,5,3.4977258253412273,0.0,1.2,10.6,"velocity_spike, seasonal_spike",,0.0
Axwell /\ Ingrosso,388608170.0,0.0,0,381,2,1.6218273361655182,0.0,0.0,4.9,—,,0.0
BIA,152988684.0,0.0,0,226,2,1.1027212223841216,0.0,0.0,3.3,—,,0.0
BLACKPINK,930669760.0,7790865.0,2,651,4,2.1111399712994636,0.0,0.8,6.5,velocity_spike,,0.0
BROCKHAMPTON,235698585.0,391179.0,2,243,3,2.5552155683352464,0.0,0.2,8.0,—,,0.0
BTS,1316954833.0,4584799.0,2,898,4,2.3661434150237146,0.0,0.3,7.2,velocity_spike,,0.0
Baby Keem,47292957.0,0.0,0,147,2,1.1488938209709725,0.0,0.0,3.4,—,,0.0
Bad Bunny,10263895020.0,19953260.0,4,6537,5,3.400843746425065,1.0,0.2,10.2,velocity_spike,,0.5
Bastille,1571935909.0,0.0,0,760,4,1.3079460263753289,0.0,0.0,3.9,—,,0.0
Bazzi,1723673527.0,201189.0,1,1424,3,3.0125742899271772,2.0,0.0,9.1,—,,0.0
Bebe Rexha,1822892481.0,0.0,0,1812,4,2.4462784231236716,0.0,0.0,7.3,—,,0.0
Becky G,1217649339.0,0.0,0,1135,4,1.4001809489690529,0.0,0.0,4.2,—,,0.0
Becky Hill,423546985.0,0.0,0,329,3,1.4011072393929644,0.0,0.0,4.2,—,,0.0
Beyoncé,401659360.0,1746582.0,2,331,4,2.1259386384042074,0.0,0.4,6.6,—,,0.0
Big Sean,754521744.0,5227547.0,5,1024,5,4.030843475783794,1.0,0.7,12.3,seasonal_spike,,0.0
Billie Eilish,9648193670.0,106136448.0,22,6223,4,4.962637400039775,10.0,1.1,15.1,"seasonal_spike, velocity_spike, plateau_low_variance",,0.23
Billy Ray Cyrus,567624905.0,0.0,0,374,2,1.5044638753401878,0.0,0.0,4.5,—,,0.0
Bizarrap,123210177.0,0.0,0,94,3,1.200535310528923,0.0,0.0,3.6,—,,0.0
Black Eyed Peas,837737318.0,0.0,0,459,3,1.5393323350132706,0.0,0.0,4.6,—,,0.0
Blake Shelton,35384421.0,0.0,0,124,3,1.245413220124176,0.0,0.0,3.7,—,,0.0
BlocBoy JB,864403655.0,0.0,0,519,2,1.6889531261862114,0.0,0.0,5.1,—,,0.0
Blueface,319862609.0,0.0,0,395,2,2.912593495409065,0.0,0.0,8.7,—,,0.0
Bonez MC,74355499.0,0.0,0,107,4,1.5128528115132096,0.0,0.0,4.5,—,,0.0
