artist,title,total_streams,bot_streams,flagged_days,total_days,max_spike_ratio,avg_rolling_cv,drop_after_spike_count,bot_pct,confidence,royalty_lost
$ilkMoney,My Potna Dem,1525090.0,0.0,0,7,1.0171343963163617,0.049774313434425,0.0,0.0,3.1,0.0
$uicideboy$,"...And To Those I Love, Thanks For Sticking Around",24399236.0,0.0,0,96,1.1118223248311228,0.0384567516281336,0.0,0.0,3.3,
*NSYNC,"Merry Christmas, Happy Holidays",23710779.0,6491051.0,5,33,2.9146769402440684,0.6888806572293433,0.0,27.4,14.8,
"13 Organisé, SCH, Kofs, Jul, Naps, Soso Maness, Elams, Solda, Houari",Bande organisée,1455208.0,0.0,0,2,0.7930689998109687,0.1996037891044356,0.0,0.0,2.4,0.0
"187 Strassenbande, Bonez MC, Gzuz",Millionär,2061656.0,0.0,0,4,0.943754691897864,0.1241391895498509,0.0,0.0,2.8,0.0
2 Chainz,Bigger Than You (feat. Drake & Quavo),55941884.0,0.0,0,105,1.139976868859765,0.096264619635602,0.0,0.0,3.4,
2 Chainz,High Top Versace (feat. Young Thug),807861.0,0.0,0,3,0.8631485327618647,0.2359573128152483,0.0,0.0,2.6,0.0
2 Chainz,Momma I Hit A Lick (feat. Kendrick Lamar),1115871.0,0.0,0,4,0.4037631434693,0.7521009756101673,0.0,0.0,1.2,0.0
2 Chainz,OG Kush Diet,1418462.0,0.0,0,6,0.8825029277084178,0.1540306531815967,0.0,0.0,2.6,0.0
2 Chainz,Rule The World (feat. Ariana Grande),4265392.0,0.0,0,7,0.7254713512044415,0.5299783116726575,0.0,0.0,2.2,0.0
2 Chainz,Trap Check,2346436.0,0.0,0,12,1.0474175162781985,0.0801125875215313,0.0,0.0,3.1,0.0
2 Chainz,Whip (feat. Travis Scott),7622434.0,0.0,0,17,0.9309187018685376,0.3150962476360558,0.0,0.0,2.8,
"2 Chainz, Drake",Big Amount,992266.0,0.0,0,5,0.981922746556558,0.1037280347222961,0.0,0.0,2.9,0.0
"2 Chainz, Gucci Mane, Quavo",Good Drank,28088275.0,858997.0,1,128,2.995733319516277,0.113006502099493,0.0,3.1,9.3,
"2 Chainz, Migos",Blue Cheese,1179139.0,0.0,0,6,1.1894625728287676,0.1129097004568803,0.0,0.0,3.6,0.0
"2 Chainz, Nicki Minaj",Realize,530406.0,0.0,0,3,0.9327935715590188,0.1285650276762281,0.0,0.0,2.8,0.0
"2 Chainz, Travis Scott",4 AM,91572935.0,0.0,0,89,1.4052990473416611,0.0931584560188716,0.0,0.0,4.2,
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",It's A Vibe,120861431.0,0.0,0,246,3.0086051608987576,0.0893476197869829,0.0,0.0,9.0,
"2 Chainz, YG, Offset",PROUD,5064964.0,0.0,0,22,1.0887464466254635,0.1090860377550618,0.0,0.0,3.3,
21 Savage,1.5,7220711.0,0.0,0,23,1.0367497738253355,0.2807408508823014,0.0,0.0,3.1,
21 Savage,4L,1343063.0,0.0,0,5,0.4888973245720223,0.8475688889454082,0.0,0.0,1.5,0.0
21 Savage,7 Min Freestyle,539103.0,0.0,0,3,0.9243001506937024,0.1270756424445827,0.0,0.0,2.8,0.0
21 Savage,Baby Girl,1073900.0,0.0,0,5,0.9227531304605112,0.1668721316102195,0.0,0.0,2.8,0.0
21 Savage,Bad Business,3608546.0,0.0,0,17,0.9810514194575738,0.2761687022926837,0.0,0.0,2.9,
